"Lizenzliste: Karger Journals Komplett AL [EZB-NALIX-00498]"			 			 			 			 			 	
"Datum: 07.02.2019 um 08:57 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
150346	"Acta Cytologica "	"Karger"	"Biologie;Medizin"	"1938-2650"	"0001-5547"	"2256676-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=150346"	"https://www.karger.com/ACY"	1996	40					12	"Pathologie"
3005	"Acta Haematologica"	"Karger"	"Medizin"	"1421-9662"	"0001-5792"	"1481888-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=3005"	"https://www.karger.com/aha"	1998	99					12	"Hämatologie"
252553	"Aesthetics in Dermatology and Surgery"	"Karger"	"Medizin"	"2504-107X"	"2504-0456"	"2879719-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=252553"	"https://www.karger.com/ADS"	2017			2017			12	"Plastische Chirurgie;Dermatologie und Venerologie"
2186	"American Journal of Nephrology"	"Karger"	"Medizin"	"1421-9670"	"0250-8095"	"1468523-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=2186"	"https://www.karger.com/ajn"	1998	18					12	"Nephrologie"
3891	"Analytische Psychologie (-2003) "	"Karger"	"Psychologie"	"1421-9689"	"0301-3006"	"1481968-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=3891"	"https://www.karger.com/aps"	1998	29		2003	34		12	"Analytische Psychologie"
58897	"Annales Nestlé / Deutsche Ausgabe"	"Karger"	"Medizin"	"1661-3740"	"0250-9652"	"2204701-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=58897"	"https://www.karger.com/AND"	2006	64		2008	66		12	"Kinderheilkunde"
80946	"Annales Nestlé / Ed. Española"	"Karger"	"Medizin"	"1661-4003"	"0252-8185"	"2242202-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=80946"	"https://www.karger.com/ANS"	2006	64		2010	68		12	"Kinderheilkunde"
80945	"Annales Nestlé / Ed. Française"	"Karger"	"Medizin"	"1661-3732"	"0250-9644"	"2242209-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=80945"	"https://www.karger.com/ANF"	2006	64		2010	68		12	""
80947	"Annales Nestlé / English Ed."	"Karger"	"Medizin"	"1661-4011"	"0517-8606"	"2242238-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=80947"	"https://www.karger.com/ANE"	2006	64		2010	68		12	"Kinderheilkunde"
252618	"Annals of Neurosciences (2016-2018,4)"	"Karger"	"Medizin"	"0976-3260"	"0972-7531"	"2576191-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=252618"	"https://www.karger.com/AON"	2016	23		2018	25	4	12	"Neurologie"
3006	"Annals of Nutrition and Metabolism"	"Karger"	"Medizin"	"1421-9697"	"0029-6678;0250-6807;0550-4031"	"1481977-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=3006"	"https://www.karger.com/anm"	1998	42					12	""
3007	"Audiology & Neurotology (formerly Audiology & Neuro-Otology)"	"Karger"	"Medizin"	"1421-9700"	"1420-3030"	"1481979-x"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=3007"	"https://www.karger.com/aud"	1998	3					12	"Hals-Nasen-Ohren-Heilkunde"
3892	"Blood Purification"	"Karger"	"Medizin"	"1421-9735"	"0253-5068"	"1482025-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=3892"	"https://www.karger.com/bpu"	1998	16					12	"Hämatologie;Nephrologie"
3010	"Brain, Behavior and Evolution"	"Karger"	"Medizin;Psychologie"	"1421-9743"	"0006-8977"	"1482032-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIX&jour_id=3010"	"https://www.karger.com/bbe"	1998	51					12	"Neurologie;Psychiatrie"
